_id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
6804,3.04,Crime Number of Assaults ,m,n,1195.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,12,,
6805,3.04,Crime Number of Assaults ,m,n,1243.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,1,,
6806,3.04,Crime Number of Assaults ,m,n,1175.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,2,,
6807,3.04,Crime Number of Assaults ,m,n,1257.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,3,,
6808,3.04,Crime Number of Assaults ,m,n,1257.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,4,,
6809,3.04,Crime Number of Assaults ,m,n,1523.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,5,,
6810,3.04,Crime Number of Assaults ,m,n,1572.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,6,,
6811,3.04,Crime Number of Assaults ,m,n,1387.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,7,,
6812,3.04,Crime Number of Assaults ,m,n,1484.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,8,,
6813,3.04,Crime Number of Assaults ,m,n,1506.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,9,,
6814,3.04,Crime Number of Assaults ,m,n,1429.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2014,10,,
